Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Oklahoma,2020,2,2020-01-11,823,754,10,148,20,40,20,71,,14,,246,42,0,0,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Oklahoma,2020,3,2020-01-18,850,791,,156,40,35,14,68,,13,,236,44,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Oklahoma,2020,4,2020-01-25,803,738,,169,35,41,13,68,,12,,209,38,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Oklahoma,2020,5,2020-02-01,833,776,15,164,33,45,20,56,,,,204,45,0,0,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,6,2020-02-08,815,729,,168,19,27,14,43,10,10,,239,33,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Oklahoma,2020,7,2020-02-15,805,729,13,136,27,32,16,63,,,,218,46,0,0,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,8,2020-02-22,818,750,,154,28,38,19,71,,12,,232,33,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Oklahoma,2020,9,2020-02-29,829,767,,159,30,47,22,67,10,,,221,33,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,10,2020-03-07,798,726,,147,28,40,24,55,,12,,244,35,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Oklahoma,2020,11,2020-03-14,791,724,,152,27,34,21,62,,,,225,35,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,12,2020-03-21,827,761,16,155,37,26,25,74,,,,205,41,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Oklahoma,2020,13,2020-03-28,854,773,15,182,29,38,23,59,10,,,199,39,18,14,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,14,2020-04-04,783,715,,143,23,33,28,53,,,,193,32,42,37,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,15,2020-04-11,856,786,,149,31,33,14,64,,,,223,35,52,48,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,16,2020-04-18,798,741,,136,34,38,15,54,13,11,,204,36,48,46,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Oklahoma,2020,17,2020-04-25,780,722,13,138,25,34,11,51,,,,224,28,47,39,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,18,2020-05-02,759,691,,158,26,32,11,39,,12,,198,32,46,43,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Oklahoma,2020,19,2020-05-09,776,690,,153,35,37,,47,,,,213,34,29,21,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,20,2020-05-16,733,668,11,131,28,32,11,44,,,,200,39,20,11,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,21,2020-05-23,814,713,,173,23,22,,50,,11,,217,34,23,17,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Oklahoma,2020,22,2020-05-30,740,663,,168,27,24,,43,,,,198,39,25,20,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,23,2020-06-06,787,710,,160,26,20,11,42,,,,222,41,14,10,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,24,2020-06-13,770,682,,170,29,26,,42,11,14,,199,30,15,12,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Oklahoma,2020,25,2020-06-20,741,655,,149,24,36,,34,,,,222,32,18,14,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,26,2020-06-27,765,688,,155,39,27,,44,,,,206,30,18,16,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,27,2020-07-04,781,692,12,155,26,28,,47,,,,191,33,23,18,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,28,2020-07-11,768,689,11,149,17,34,,53,,,,199,23,37,30,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,29,2020-07-18,793,710,,159,24,31,,43,,,,196,29,48,45,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,30,2020-07-25,903,816,,180,34,30,10,45,,11,,237,34,67,57,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Oklahoma,2020,31,2020-08-01,879,810,,154,30,31,,49,,12,,261,32,74,67,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Oklahoma,2020,32,2020-08-08,813,743,10,146,30,31,,50,,,14,197,46,73,69,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oklahoma,2020,33,2020-08-15,859,785,15,164,22,26,,59,,11,,199,46,91,71,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Oklahoma,2020,34,2020-08-22,876,804,15,163,32,36,12,42,,,,232,31,74,64,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,35,2020-08-29,812,732,,146,29,36,,60,,12,,179,32,80,60,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Oklahoma,2020,36,2020-09-05,827,750,,162,29,27,,47,10,,,203,22,75,63,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,37,2020-09-12,801,726,11,151,23,25,,47,,,,202,33,79,67,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,38,2020-09-19,790,714,,134,22,20,,62,,,13,202,47,75,63,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oklahoma,2020,39,2020-09-26,909,835,,183,30,37,,51,,,10,222,25,89,71,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oklahoma,2020,40,2020-10-03,848,770,,166,35,34,,50,,15,13,200,25,87,68,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Oklahoma,2020,41,2020-10-10,966,877,11,185,21,26,14,53,,,16,234,43,117,98,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oklahoma,2020,42,2020-10-17,860,783,,139,36,37,,50,,10,13,216,24,114,100,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Oklahoma,2020,43,2020-10-24,943,881,,172,23,56,12,64,,,,210,24,168,142,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oklahoma,2020,44,2020-10-31,1017,940,,161,28,47,11,58,,,21,242,42,163,137,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oklahoma,2020,45,2020-11-07,1020,952,,144,26,47,13,64,,16,18,241,36,189,171,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Oklahoma,2020,46,2020-11-14,1062,1000,,144,27,48,16,60,,,27,234,41,252,216,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oklahoma,2020,47,2020-11-21,1135,1066,,170,29,49,11,68,10,,19,226,39,301,257,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Oklahoma,2020,48,2020-11-28,1134,1075,,150,32,30,10,53,11,12,31,208,38,365,325,,,Suppressed (counts 1-9),,,,,,,,,,,,
Oklahoma,2020,49,2020-12-05,1311,1249,,161,32,51,10,52,,13,36,232,47,467,417,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Oklahoma,2020,50,2020-12-12,1200,1161,,149,40,39,,55,,,40,220,37,433,397,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oklahoma,2020,51,2020-12-19,1262,1206,,155,36,38,,60,,,44,272,35,416,372,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oklahoma,2020,52,2020-12-26,1241,1191,15,143,31,27,10,54,,18,45,231,34,435,382,,,,,,,,,Suppressed (counts 1-9),,,,,,
Oklahoma,2020,53,2021-01-02,1311,1267,11,152,30,33,14,63,,12,58,258,30,471,412,,,,,,,,,Suppressed (counts 1-9),,,,,,
Oklahoma,2021,1,2021-01-09,1228,1179,14,129,35,31,14,46,,,57,243,39,469,413,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oklahoma,2021,2,2021-01-16,1254,1213,,161,31,41,18,60,,,52,217,41,449,400,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oklahoma,2021,3,2021-01-23,1250,1207,,155,17,44,12,56,10,12,74,223,40,420,391,,,Suppressed (counts 1-9),,,,,,,,,,,,
Oklahoma,2021,4,2021-01-30,1090,1059,,145,19,34,,52,11,10,71,206,31,337,315,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Oklahoma,2021,5,2021-02-06,940,911,,133,24,29,,51,12,11,66,221,28,248,204,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Oklahoma,2021,6,2021-02-13,844,812,,121,39,27,10,38,12,,58,185,40,177,147,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Oklahoma,2021,7,2021-02-20,816,797,15,134,26,24,,41,,14,71,192,36,137,122,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Oklahoma,2021,8,2021-02-27,646,627,,93,25,27,,40,0,,72,147,17,105,95,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Oklahoma,2021,9,2021-03-06,498,480,,77,11,31,,28,,,40,120,22,68,57,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oklahoma,2021,10,2021-03-13,361,350,,69,,15,,24,,,25,103,15,26,21,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,1,2020-01-04,737,683,,159,29,38,15,37,16,11,,139,50,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Oregon,2020,2,2020-01-11,764,688,,183,34,46,12,47,11,,,121,42,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oregon,2020,3,2020-01-18,769,702,,167,33,37,17,37,,,,140,29,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oregon,2020,4,2020-01-25,745,690,,146,25,37,18,51,14,,10,139,45,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Oregon,2020,5,2020-02-01,728,664,,155,18,45,13,30,,,17,139,46,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,6,2020-02-08,727,671,,157,26,35,12,59,,,,145,43,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oregon,2020,7,2020-02-15,783,732,,165,23,56,15,43,,,12,157,41,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,8,2020-02-22,733,675,,162,24,29,12,46,12,12,,150,33,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Oregon,2020,9,2020-02-29,735,667,,146,21,46,12,39,12,,16,150,40,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Oregon,2020,10,2020-03-07,788,718,,158,22,37,15,39,12,,14,148,50,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Oregon,2020,11,2020-03-14,746,688,,149,33,43,19,34,18,12,11,140,36,,,,,Suppressed (counts 1-9),,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Oregon,2020,12,2020-03-21,775,699,,156,18,41,18,62,,,11,127,39,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Oregon,2020,13,2020-03-28,768,717,,141,36,51,12,53,11,,19,146,51,14,14,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Oregon,2020,14,2020-04-04,778,718,,161,28,41,16,27,,,20,139,45,25,24,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,15,2020-04-11,769,704,,173,23,44,12,28,,,10,134,42,25,24,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,16,2020-04-18,765,708,,160,21,41,,53,10,,12,146,34,25,25,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Oregon,2020,17,2020-04-25,770,710,10,155,30,43,,31,10,,,146,52,30,28,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oregon,2020,18,2020-05-02,714,651,,161,25,28,,50,,,14,131,37,15,13,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,19,2020-05-09,703,628,,144,26,28,,40,13,,17,136,36,19,17,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Oregon,2020,20,2020-05-16,716,653,,158,18,40,,36,11,,12,144,40,14,12,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Oregon,2020,21,2020-05-23,744,652,,166,23,34,,31,,,13,133,48,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Oregon,2020,22,2020-05-30,748,678,,149,27,28,,23,13,11,12,161,47,11,10,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Oregon,2020,23,2020-06-06,683,618,,136,23,28,,38,12,,11,122,47,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Oregon,2020,24,2020-06-13,727,654,,158,25,27,,26,,,,143,31,15,14,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Oregon,2020,25,2020-06-20,731,674,,165,25,32,,33,,,16,146,45,12,10,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,26,2020-06-27,689,619,,147,25,27,,36,,,17,119,38,15,13,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,27,2020-07-04,758,690,,155,29,36,,36,15,10,,147,47,20,19,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Oregon,2020,28,2020-07-11,712,632,,148,30,38,,40,10,,15,109,37,14,14,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Oregon,2020,29,2020-07-18,759,676,,167,29,39,,36,,11,,148,34,28,25,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Oregon,2020,30,2020-07-25,739,653,,157,25,34,10,38,16,10,13,121,43,26,24,,,Suppressed (counts 1-9),,,,,,,,,,,,
Oregon,2020,31,2020-08-01,719,638,,116,17,39,,33,,,15,139,43,32,29,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,32,2020-08-08,768,695,,161,26,41,,35,,,18,134,34,31,25,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,33,2020-08-15,777,693,,157,26,41,,39,,16,,147,38,32,26,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Oregon,2020,34,2020-08-22,788,718,,166,26,38,,35,,,13,147,30,24,22,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,35,2020-08-29,748,687,,171,24,24,,38,12,11,,144,53,33,29,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Oregon,2020,36,2020-09-05,707,625,,157,29,33,,27,,,11,124,40,20,17,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,37,2020-09-12,737,661,,160,16,39,,38,,,11,140,46,23,20,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,38,2020-09-19,790,714,,174,26,36,,33,,,14,136,53,16,14,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,39,2020-09-26,730,672,,163,30,39,,29,12,,13,144,42,17,17,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Oregon,2020,40,2020-10-03,733,646,,162,16,29,,29,,,15,127,45,21,17,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,41,2020-10-10,760,680,,170,20,37,,39,12,,17,135,38,23,20,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Oregon,2020,42,2020-10-17,713,648,,132,23,46,,22,11,,19,135,39,35,29,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Oregon,2020,43,2020-10-24,762,711,,149,24,43,,45,12,11,15,141,39,28,24,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Oregon,2020,44,2020-10-31,781,710,,136,24,39,,30,,,23,152,53,33,24,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,45,2020-11-07,832,754,,171,28,38,,29,,,23,137,45,33,27,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,46,2020-11-14,836,775,,168,29,32,,34,15,,21,163,44,51,49,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Oregon,2020,47,2020-11-21,832,775,,145,28,52,,32,16,,31,141,35,81,77,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Oregon,2020,48,2020-11-28,876,830,,147,28,48,,36,,,31,155,48,117,99,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,49,2020-12-05,934,880,,166,27,51,10,36,12,,25,163,48,127,114,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Oregon,2020,50,2020-12-12,935,874,,176,25,40,,30,11,12,29,151,48,139,125,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Oregon,2020,51,2020-12-19,974,917,,180,30,58,,39,10,,33,173,57,118,102,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Oregon,2020,52,2020-12-26,875,823,,168,27,36,,29,,,31,152,47,113,101,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,53,2021-01-02,898,830,,163,31,36,,42,,,35,142,46,118,100,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2021,1,2021-01-09,874,813,,160,26,44,,34,17,,38,130,30,112,100,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Oregon,2021,2,2021-01-16,881,829,,168,21,50,,30,12,,39,161,50,91,80,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Oregon,2021,3,2021-01-23,836,782,,174,25,42,,35,,,26,143,39,93,84,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2021,4,2021-01-30,816,750,,154,13,35,,31,,,31,132,56,81,73,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2021,5,2021-02-06,793,741,,153,25,42,,47,,,40,125,42,62,52,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2021,6,2021-02-13,733,683,,147,21,35,,30,17,13,34,122,46,42,36,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Oregon,2021,7,2021-02-20,693,662,,164,29,28,,25,,,28,141,38,33,28,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2021,8,2021-02-27,571,539,,119,13,34,,33,,,19,104,36,26,22,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2021,9,2021-03-06,413,394,,105,,33,,25,,,19,72,20,20,19,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2021,10,2021-03-13,325,305,,61,,27,,17,,,20,54,24,12,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9)
Pennsylvania,2020,1,2020-01-04,2783,2571,50,562,65,74,82,135,56,56,67,663,150,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,2,2020-01-11,2845,2627,50,578,78,76,62,152,59,59,64,711,143,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,3,2020-01-18,2859,2636,61,580,76,83,71,140,57,41,60,655,164,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,4,2020-01-25,2792,2559,40,581,83,71,70,127,62,66,55,653,146,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,5,2020-02-01,2802,2572,51,595,79,78,70,134,52,61,43,618,145,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,6,2020-02-08,2779,2545,46,514,78,75,63,144,63,66,50,690,119,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,7,2020-02-15,2805,2597,48,568,76,99,70,149,59,65,41,674,135,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,8,2020-02-22,2693,2511,39,566,77,68,53,144,43,60,56,685,128,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,9,2020-02-29,2765,2535,51,565,78,86,81,128,42,64,61,635,145,,0,,,,,,,,,,,,,,Suppressed (counts 1-9),
Pennsylvania,2020,10,2020-03-07,2778,2544,47,566,94,89,76,159,57,58,57,643,129,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,11,2020-03-14,2829,2587,49,601,70,76,97,147,43,67,60,632,136,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,12,2020-03-21,2597,2366,43,496,63,87,93,128,54,61,42,583,128,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Pennsylvania,2020,13,2020-03-28,2731,2521,44,534,68,93,78,152,51,66,57,618,138,52,51,,,,,,,,,,,,,,,
Pennsylvania,2020,14,2020-04-04,3003,2779,50,517,101,95,70,131,48,63,53,671,135,210,199,,,,,,,,,,,,,,,
Pennsylvania,2020,15,2020-04-11,3453,3234,52,529,94,95,75,128,48,69,68,675,169,638,620,,,,,,,,,,,,,,,
